順位,出典数順位,声優名,出典数,advanced,fan_level
97,25,三森すずこ,403,72,1
95,26,小清水亜美,399,69,2
76,9,堀江由衣,678,67,3
77,24,金元寿子,407,53,4
68,16,東山奈央,480,52,5
79,28,井上喜久子,391,51,6
67,17,井上麻里奈,477,50,7
80,32,戸松遥,373,48,8
100,55,茅原実里,280,45,9
71,29,喜多村英梨,389,42,10
88,54,内田彩,282,34,11
85,52,大原さやか,293,33,12
55,23,斎藤千和,408,32,13
90,60,遠藤綾,267,30,14
70,42,石見舞菜香,339,28,15
61,34,坂本真綾,365,27,16
53,27,佐藤利奈,394,26,17
83,57,本渡楓,277,26,17
47,22,M・A・O（市道真央）,421,25,19
27,2,日笠陽子,988,25,19
39,14,鬼頭明里,533,25,19
86,62,桑島法子,262,24,22
63,40,川澄綾子,347,23,23
43,21,加隈亜衣,451,22,24
49,30,田村ゆかり,378,19,25
92,76,高垣彩陽,191,16,26
32,18,小松未可子,469,14,27
65,51,小林ゆう,303,14,27
69,58,黒沢ともよ,274,11,29
21,10,小倉唯,671,11,29
31,20,竹達彩奈,458,11,29
99,89,前田佳織里,152,10,32
52,43,潘めぐみ,338,9,33
48,39,徳井青空,349,9,33
56,47,石原夏織,319,9,33
94,86,大空直美,164,8,36
11,3,内田真礼,861,8,36
87,79,丹下桜,181,8,36
78,71,久野美咲,227,7,39
74,68,南條愛乃,242,6,40
96,90,久川綾,148,6,40
40,35,井口裕香,359,5,42
73,69,楠木ともり,234,4,43
8,5,沢城みゆき,743,3,44
98,96,大森日雅,104,2,45
9,8,悠木碧,704,1,46
1,1,花澤香菜,991,0,47
6,6,雨宮天,739,0,47
82,82,戸田恵子,174,0,47
91,91,皆口裕子,147,0,47
15,15,大西沙織,494,0,47
46,46,阿澄佳奈,322,0,47
12,13,茅野愛衣,536,-1,53
2,4,水瀬いのり,775,-2,54
66,70,伊藤かな恵,229,-4,55
3,7,早見沙織,722,-4,55
72,77,田中真弓,189,-5,57
45,50,瀬戸麻沙美,311,-5,57
51,56,朴璐美,278,-5,57
5,11,佐倉綾音,644,-6,60
30,37,日高里菜,353,-7,61
93,100,甲斐田ゆき,64,-7,61
4,12,釘宮理恵,544,-8,63
50,59,田村睦心,268,-9,64
84,94,島本須美,127,-10,65
89,99,大山のぶ代,75,-10,65
38,49,伊瀬茉莉也,312,-11,67
22,33,上坂すみれ,370,-11,67
41,53,佐藤聡美,289,-12,69
7,19,高橋李依,464,-12,69
75,87,日髙のり子,162,-12,69
62,74,和氣あず未,216,-12,69
26,38,種崎敦美,351,-12,69
54,67,千本木彩花,247,-13,74
81,95,ゆきのさつき,107,-14,75
59,75,三石琴乃,213,-16,76
17,36,石川由依,358,-19,77
44,63,加藤英美里,261,-19,77
25,44,能登麻美子,337,-19,77
10,31,上田麗奈,377,-21,80
19,41,野沢雅子,344,-22,81
58,82,大谷育江,174,-24,82
18,45,花守ゆみり,330,-27,83
57,84,長縄まりあ,173,-27,83
29,61,豊崎愛生,263,-32,85
60,93,市ノ瀬加那,129,-33,86
64,98,朝日奈丸佳,97,-34,87
13,48,伊藤美来,313,-35,88
36,73,桑原由気,220,-37,89
42,81,小原好美,178,-39,90
24,64,Lynn,256,-40,91
37,78,緒方恵美,183,-41,92
23,66,種田梨沙,251,-43,93
34,79,夏川椎菜,181,-45,94
20,71,古賀葵,227,-51,95
14,65,林原めぐみ,255,-51,95
33,88,高山みなみ,160,-55,97
35,92,諸星すみれ,145,-57,98
28,97,檜山沙耶,102,-69,99
16,85,麻倉もも,172,-69,99
